contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker
META250627C00570000,2025-06-20 15:22:11+00:00,570.0,116.27,128.05,129.5,0.0,0.0,2.0,20,0.773439765625,True,REGULAR,USD,call,2025-06-27,META
META250627C00575000,2025-06-20 19:56:15+00:00,575.0,108.7,123.05,124.65,0.0,0.0,18.0,47,0.772463212890625,True,REGULAR,USD,call,2025-06-27,META
META250627C00580000,2025-06-20 15:30:14+00:00,580.0,106.62,118.05,119.65,0.0,0.0,15.0,51,0.7421900781249999,True,REGULAR,USD,call,2025-06-27,META
META250627C00585000,2025-06-20 17:31:25+00:00,585.0,99.53,112.9,114.85,0.0,0.0,23.0,47,0.7202176416015625,True,REGULAR,USD,call,2025-06-27,META
META250627C00590000,2025-06-20 19:26:43+00:00,590.0,99.0,108.1,109.65,7.1100006,7.737513,1.0,51,0.6904327832031252,True,REGULAR,USD,call,2025-06-27,META
META250627C00595000,2025-06-20 19:13:37+00:00,595.0,89.5,103.1,104.7,0.0,0.0,2.0,37,0.6669955175781253,True,REGULAR,USD,call,2025-06-27,META
META250627C00600000,2025-06-23 18:00:01+00:00,600.0,96.3,98.25,99.5,14.370003,17.539366,16.0,139,0.6303747900390625,True,REGULAR,USD,call,2025-06-27,META
META250627C00605000,2025-06-23 18:47:29+00:00,605.0,91.01,93.25,94.75,12.93,16.559938,10.0,36,0.63086306640625,True,REGULAR,USD,call,2025-06-27,META
META250627C00610000,2025-06-23 14:33:17+00:00,610.0,86.5,88.15,89.9,16.5,23.571428,12.0,94,0.6054726953125001,True,REGULAR,USD,call,2025-06-27,META
META250627C00615000,2025-06-20 17:08:59+00:00,615.0,73.86,83.15,84.75,-0.05999756,-0.08116553,1.0,46,0.5590864404296876,True,REGULAR,USD,call,2025-06-27,META
META250627C00617500,2025-06-20 17:39:15+00:00,617.5,66.72,80.5,82.35,0.0,0.0,2.0,2,0.5385788330078126,True,REGULAR,USD,call,2025-06-27,META
META250627C00620000,2025-06-23 19:53:50+00:00,620.0,79.15,78.2,79.75,15.350002,24.059565,18.0,142,0.5336960693359375,True,REGULAR,USD,call,2025-06-27,META
META250627C00622500,2025-06-23 15:24:20+00:00,622.5,68.9,75.5,77.35,9.300003,15.6040325,6.0,7,0.5083056982421875,True,REGULAR,USD,call,2025-06-27,META
META250627C00625000,2025-06-20 19:15:27+00:00,625.0,72.21,73.2,74.7,13.610001,23.225256,1.0,181,0.6054726953125001,True,REGULAR,USD,call,2025-06-27,META
META250627C00627500,2025-06-20 15:52:03+00:00,627.5,62.2,70.5,72.35,0.0,0.0,2.0,1,0.6040078662109377,True,REGULAR,USD,call,2025-06-27,META
META250627C00630000,2025-06-23 17:02:54+00:00,630.0,67.5,68.25,69.8,15.5,29.807692,118.0,291,0.5813030151367188,True,REGULAR,USD,call,2025-06-27,META
META250627C00632500,2025-06-20 19:24:24+00:00,632.5,50.05,65.55,67.4,0.0,0.0,1.0,1,0.5734905932617188,True,REGULAR,USD,call,2025-06-27,META
META250627C00635000,2025-06-23 18:09:52+00:00,635.0,61.5,63.25,65.0,14.450001,30.712011,2.0,358,0.5648236877441408,True,REGULAR,USD,call,2025-06-27,META
META250627C00640000,2025-06-23 19:14:37+00:00,640.0,56.78,58.35,60.0,12.529999,28.316381,48.0,2883,0.5285691674804689,True,REGULAR,USD,call,2025-06-27,META
META250627C00642500,2025-06-23 13:54:41+00:00,642.5,40.0,55.85,57.65,-0.75,-1.8404908,5.0,4,0.5229539892578124,True,REGULAR,USD,call,2025-06-27,META
META250627C00645000,2025-06-23 19:58:50+00:00,645.0,53.85,53.4,55.1,13.799999,34.45693,425.0,756,0.5004932763671875,True,REGULAR,USD,call,2025-06-27,META
META250627C00647500,2025-06-23 14:04:21+00:00,647.5,39.0,50.8,52.5,1.8499985,4.9798074,1.0,10,0.47400428344726564,True,REGULAR,USD,call,2025-06-27,META
META250627C00650000,2025-06-23 19:35:04+00:00,650.0,48.0,48.6,49.9,13.099998,37.535812,117.0,864,0.4476373596191406,True,REGULAR,USD,call,2025-06-27,META
META250627C00652500,2025-06-23 19:40:29+00:00,652.5,45.25,46.1,47.5,13.75,43.650795,51.0,111,0.43726148681640625,True,REGULAR,USD,call,2025-06-27,META
META250627C00655000,2025-06-23 19:57:00+00:00,655.0,44.3,43.65,45.2,13.539999,44.0182,61.0,245,0.43335527587890627,True,REGULAR,USD,call,2025-06-27,META
META250627C00657500,2025-06-23 16:57:22+00:00,657.5,40.5,41.25,42.6,11.889999,41.558895,27.0,7,0.4074766284179688,True,REGULAR,USD,call,2025-06-27,META
META250627C00660000,2025-06-23 19:57:00+00:00,660.0,39.45,38.85,40.25,12.940001,48.811768,237.0,399,0.3986876538085938,True,REGULAR,USD,call,2025-06-27,META
META250627C00662500,2025-06-23 18:04:33+00:00,662.5,35.5,36.45,37.95,11.700001,49.15967,56.0,25,0.3918517846679687,True,REGULAR,USD,call,2025-06-27,META
META250627C00665000,2025-06-23 19:53:50+00:00,665.0,34.65,34.05,35.3,12.050001,53.31859,193.0,221,0.3629214099121094,True,REGULAR,USD,call,2025-06-27,META
META250627C00667500,2025-06-23 19:06:46+00:00,667.5,30.65,31.7,33.15,10.049999,48.786404,165.0,121,0.3632876171875,True,REGULAR,USD,call,2025-06-27,META
META250627C00670000,2025-06-23 19:59:48+00:00,670.0,30.0,29.8,30.35,11.5,62.162163,1549.0,1551,0.32617861328125,True,REGULAR,USD,call,2025-06-27,META
META250627C00672500,2025-06-23 19:30:44+00:00,672.5,26.25,27.5,28.15,9.32,55.050205,341.0,143,0.3219061950683593,True,REGULAR,USD,call,2025-06-27,META
META250627C00675000,2025-06-23 19:58:57+00:00,675.0,25.4,25.3,25.75,10.299999,68.211914,1241.0,745,0.3057930749511719,True,REGULAR,USD,call,2025-06-27,META
META250627C00677500,2025-06-23 19:30:44+00:00,677.5,23.49,23.0,23.7,9.889999,72.72058,309.0,185,0.30493859130859374,True,REGULAR,USD,call,2025-06-27,META
META250627C00680000,2025-06-23 19:59:48+00:00,680.0,21.1,21.0,21.5,9.280001,78.51101,2745.0,1228,0.2949899603271484,True,REGULAR,USD,call,2025-06-27,META
META250627C00682500,2025-06-23 19:59:44+00:00,682.5,19.02,18.95,19.35,8.450001,79.943245,1771.0,591,0.28528546752929684,True,REGULAR,USD,call,2025-06-27,META
META250627C00685000,2025-06-23 19:59:49+00:00,685.0,17.15,17.0,17.4,7.95,86.41305,3688.0,755,0.2809520147705078,True,REGULAR,USD,call,2025-06-27,META
META250627C00687500,2025-06-23 19:59:59+00:00,687.5,15.15,15.15,15.45,7.049999,87.037025,2447.0,642,0.2739330419921875,True,REGULAR,USD,call,2025-06-27,META
META250627C00690000,2025-06-23 19:59:48+00:00,690.0,13.4,13.3,13.55,6.4999995,94.20289,7108.0,2189,0.26593751647949215,True,REGULAR,USD,call,2025-06-27,META
META250627C00692500,2025-06-23 19:58:20+00:00,692.5,11.78,11.65,11.95,5.83,97.9832,2001.0,662,0.26483889465332033,True,REGULAR,USD,call,2025-06-27,META
META250627C00695000,2025-06-23 19:59:42+00:00,695.0,10.18,10.1,10.35,5.03,97.66991,4463.0,2125,0.2602613037109375,True,REGULAR,USD,call,2025-06-27,META
META250627C00697500,2025-06-23 19:59:52+00:00,697.5,8.65,8.65,8.9,4.3499994,101.16277,1995.0,1266,0.2569654382324219,True,REGULAR,USD,call,2025-06-27,META
META250627C00700000,2025-06-23 19:59:58+00:00,700.0,7.43,7.35,7.5,3.7299998,100.8108,22986.0,6212,0.2515943981933594,False,REGULAR,USD,call,2025-06-27,META
META250627C00702500,2025-06-23 19:59:25+00:00,702.5,6.22,6.15,6.4,3.2299998,108.02675,2495.0,2627,0.25171646728515623,False,REGULAR,USD,call,2025-06-27,META
META250627C00705000,2025-06-23 19:59:57+00:00,705.0,5.2,5.1,5.2,2.6499999,103.92157,4250.0,1950,0.24488059814453128,False,REGULAR,USD,call,2025-06-27,META
META250627C00707500,2025-06-23 19:57:46+00:00,707.5,4.25,4.15,4.3,2.14,101.421814,1800.0,511,0.2436599072265625,False,REGULAR,USD,call,2025-06-27,META
META250627C00710000,2025-06-23 19:59:59+00:00,710.0,3.4,3.4,3.5,1.6000001,88.8889,6026.0,2105,0.2418899053955078,False,REGULAR,USD,call,2025-06-27,META
META250627C00712500,2025-06-23 19:57:19+00:00,712.5,2.75,2.7,2.77,1.28,87.07483,2152.0,700,0.23853300537109373,False,REGULAR,USD,call,2025-06-27,META
META250627C00715000,2025-06-23 19:59:44+00:00,715.0,2.15,2.14,2.24,0.95000005,79.16667,2671.0,995,0.2389602471923828,False,REGULAR,USD,call,2025-06-27,META
META250627C00717500,2025-06-23 19:59:42+00:00,717.5,1.67,1.7,1.74,0.64,62.135925,1850.0,299,0.23676300354003904,False,REGULAR,USD,call,2025-06-27,META
META250627C00720000,2025-06-23 19:59:29+00:00,720.0,1.34,1.32,1.35,0.46000004,52.27273,4596.0,2210,0.2357254162597656,False,REGULAR,USD,call,2025-06-27,META
META250627C00722500,2025-06-23 19:59:36+00:00,722.5,1.03,1.03,1.07,0.28999996,39.189182,1633.0,247,0.23706817626953125,False,REGULAR,USD,call,2025-06-27,META
META250627C00725000,2025-06-23 19:59:57+00:00,725.0,0.81,0.76,0.82,0.18,28.571428,2611.0,3452,0.23670196899414062,False,REGULAR,USD,call,2025-06-27,META
META250627C00727500,2025-06-23 19:59:18+00:00,727.5,0.63,0.59,0.65,0.06999999,12.499998,560.0,746,0.23902128173828124,False,REGULAR,USD,call,2025-06-27,META
META250627C00730000,2025-06-23 19:59:23+00:00,730.0,0.49,0.48,0.51,0.02000001,4.255321,1755.0,3277,0.24085231811523436,False,REGULAR,USD,call,2025-06-27,META
META250627C00732500,2025-06-23 19:50:59+00:00,732.5,0.39,0.31,0.4,-0.01000002,-2.500005,5839.0,68,0.24292749267578123,False,REGULAR,USD,call,2025-06-27,META
META250627C00735000,2025-06-23 19:57:02+00:00,735.0,0.3,0.29,0.31,-0.060000002,-16.666666,763.0,1637,0.24463645996093752,False,REGULAR,USD,call,2025-06-27,META
META250627C00737500,2025-06-23 19:59:39+00:00,737.5,0.25,0.23,0.25,-0.08000001,-24.242426,86.0,26,0.24805439453125,False,REGULAR,USD,call,2025-06-27,META
META250627C00740000,2025-06-23 19:58:24+00:00,740.0,0.19,0.18,0.2,-0.099999994,-34.482758,1431.0,3379,0.2514723291015625,False,REGULAR,USD,call,2025-06-27,META
META250627C00742500,2025-06-23 19:44:23+00:00,742.5,0.13,0.15,0.17,-0.120000005,-48.0,134.0,407,0.256843369140625,False,REGULAR,USD,call,2025-06-27,META
META250627C00745000,2025-06-23 19:35:42+00:00,745.0,0.13,0.12,0.14,-0.08,-38.095238,803.0,736,0.2612378564453125,False,REGULAR,USD,call,2025-06-27,META
META250627C00747500,2025-06-23 19:33:51+00:00,747.5,0.12,0.1,0.12,-0.080000006,-40.000004,31.0,45,0.266608896484375,False,REGULAR,USD,call,2025-06-27,META
META250627C00750000,2025-06-23 19:59:24+00:00,750.0,0.09,0.07,0.1,-0.099999994,-52.631573,1195.0,2587,0.27149166015625,False,REGULAR,USD,call,2025-06-27,META
META250627C00755000,2025-06-23 19:17:33+00:00,755.0,0.08,0.07,0.08,-0.060000002,-42.857143,168.0,1101,0.2841868457031249,False,REGULAR,USD,call,2025-06-27,META
META250627C00760000,2025-06-23 19:58:33+00:00,760.0,0.05,0.03,0.06,-0.09,-64.28571,208.0,708,0.29492892578124996,False,REGULAR,USD,call,2025-06-27,META
META250627C00765000,2025-06-23 18:33:55+00:00,765.0,0.05,0.02,0.06,-0.08,-61.538464,55.0,672,0.31445998046874996,False,REGULAR,USD,call,2025-06-27,META
META250627C00770000,2025-06-23 18:54:14+00:00,770.0,0.04,0.02,0.04,-0.060000002,-60.0,149.0,993,0.32031929687499994,False,REGULAR,USD,call,2025-06-27,META
META250627C00775000,2025-06-23 19:01:11+00:00,775.0,0.03,0.02,0.04,-0.049999997,-62.499996,12.0,391,0.33789724609375,False,REGULAR,USD,call,2025-06-27,META
META250627C00780000,2025-06-23 15:54:42+00:00,780.0,0.02,0.0,0.04,-0.05,-71.42857,235.0,843,0.35742830078125,False,REGULAR,USD,call,2025-06-27,META
META250627C00785000,2025-06-23 19:23:44+00:00,785.0,0.02,0.01,0.03,-0.02,-50.0,10.0,318,0.36524072265625,False,REGULAR,USD,call,2025-06-27,META
META250627C00790000,2025-06-23 18:40:24+00:00,790.0,0.01,0.0,0.03,-0.04,-80.00001,12.0,168,0.38281867187499996,False,REGULAR,USD,call,2025-06-27,META
META250627C00795000,2025-06-23 13:58:12+00:00,795.0,0.02,0.0,0.18,-0.030000001,-60.0,142.0,88,0.4907277490234375,False,REGULAR,USD,call,2025-06-27,META
