contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker
AMZN250627C00217500,2025-06-23 19:59:03+00:00,217.5,0.19,0.19,0.2,-0.45,-69.230774,9062.0,10271,0.2485426708984375,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00220000,2025-06-23 19:59:51+00:00,220.0,0.1,0.09,0.1,-0.22,-68.75,9314.0,18136,0.25977302734375,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00222500,2025-06-23 19:58:07+00:00,222.5,0.05,0.05,0.06,-0.13000001,-72.22222,10105.0,10898,0.278327529296875,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00225000,2025-06-23 19:57:29+00:00,225.0,0.04,0.04,0.05,-0.060000002,-60.0,3919.0,8317,0.309577216796875,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00227500,2025-06-23 19:53:47+00:00,227.5,0.03,0.03,0.04,-0.049999997,-62.499996,1492.0,2615,0.335944140625,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00230000,2025-06-23 19:49:42+00:00,230.0,0.03,0.02,0.03,-0.020000001,-40.000004,2519.0,4640,0.35938140625,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00232500,2025-06-23 19:42:04+00:00,232.5,0.02,0.02,0.03,-0.01,-33.333336,1041.0,1322,0.39453730468750003,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00235000,2025-06-23 19:16:36+00:00,235.0,0.01,0.01,0.02,-0.03,-75.0,1159.0,5500,0.4062559375,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00237500,2025-06-23 18:36:54+00:00,237.5,0.01,0.01,0.02,-0.01,-50.0,607.0,394,0.437505625,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00240000,2025-06-23 19:20:50+00:00,240.0,0.01,0.01,0.02,-0.02,-66.66667,303.0,2562,0.4687553125,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00242500,2025-06-23 18:57:09+00:00,242.5,0.01,0.01,0.02,-0.01,-50.0,27.0,301,0.500005,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00245000,2025-06-23 19:50:31+00:00,245.0,0.01,0.01,0.02,0.0,0.0,1716.0,1039,0.51562984375,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00247500,2025-06-23 14:22:18+00:00,247.5,0.01,0.0,0.01,0.0,0.0,502.0,326,0.523442265625,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00250000,2025-06-23 19:34:51+00:00,250.0,0.02,0.0,0.01,0.0,0.0,3.0,1489,0.51562984375,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00255000,2025-06-23 19:09:48+00:00,255.0,0.01,0.0,0.01,0.0,0.0,41.0,1135,0.5625043750000001,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00260000,2025-06-23 15:15:42+00:00,260.0,0.01,0.01,0.22,0.0,0.0,2.0,144,0.85937640625,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00265000,2025-06-20 16:50:32+00:00,265.0,0.01,0.0,0.01,0.0,0.0,4.0,126,0.6562534375000001,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00270000,2025-06-20 13:48:57+00:00,270.0,0.01,0.0,0.01,0.0,0.0,2.0,12,0.7187528125,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00275000,2025-06-23 13:31:34+00:00,275.0,0.01,0.0,0.01,0.0,0.0,39.0,321,0.7500025,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00280000,2025-06-09 16:08:26+00:00,280.0,0.01,0.0,0.01,-0.01,-50.0,39.0,34,0.79687703125,False,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627P00105000,2025-06-23 13:30:01+00:00,105.0,0.01,0.0,0.01,0.0,0.0,1.0,27,1.8125009374999999,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00110000,2025-06-16 14:06:27+00:00,110.0,0.01,0.0,0.01,0.0,0.0,2.0,303,1.6875015625,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00115000,2025-06-17 16:59:07+00:00,115.0,0.01,0.0,0.01,0.0,0.0,1.0,2,1.5625021874999998,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00120000,2025-06-13 19:55:50+00:00,120.0,0.01,0.0,0.01,0.0,0.0,8.0,19,1.46875265625,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00125000,2025-06-09 13:49:20+00:00,125.0,0.02,0.0,0.01,0.0,0.0,10.0,27,1.3750031249999999,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00130000,2025-06-16 18:43:34+00:00,130.0,0.01,0.0,0.01,0.0,0.0,9.0,4462,1.2500037499999999,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00135000,2025-06-09 15:45:19+00:00,135.0,0.02,0.0,0.01,0.0,0.0,7.0,1242,1.1875040625,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00140000,2025-06-20 14:41:04+00:00,140.0,0.01,0.0,0.01,0.0,0.0,10.0,2043,1.09375453125,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00145000,2025-06-20 17:30:02+00:00,145.0,0.01,0.0,0.01,0.0,0.0,1.0,2275,0.98437515625,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00150000,2025-06-20 19:24:59+00:00,150.0,0.01,0.0,0.01,0.0,0.0,35.0,1692,0.9062509375,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00155000,2025-06-20 16:48:51+00:00,155.0,0.01,0.0,0.01,0.0,0.0,2.0,4458,0.8125018749999999,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00160000,2025-06-23 19:58:46+00:00,160.0,0.01,0.0,0.01,-0.01,-50.0,386.0,3679,0.7500025,False,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00165000,2025-06-23 19:50:23+00:00,165.0,0.01,0.0,0.01,-0.01,-50.0,1491.0,570,0.6562534375000001,False,REGULAR,USD,put,2025-06-27,AMZN
